Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
2024-09-12,EQ,1654.0,1670.0,1647.05,1643.9,1661.45,1666.6,1659.83,1794.0,1363.55,16212023,26909182591.25,266121
2024-09-13,EQ,1674.0,1674.0,1657.05,1666.6,1664.8,1665.95,1663.66,1794.0,1363.55,11930266,19847946539.35,275521
2024-09-16,EQ,1667.0,1677.8,1664.05,1665.95,1670.0,1670.95,1670.83,1794.0,1363.55,7586410,12675630406.45,214575
2024-09-17,EQ,1678.0,1678.0,1664.15,1670.95,1668.3,1668.8,1668.9,1794.0,1363.55,10063561,16795097219.15,273207
2024-09-18,EQ,1671.85,1698.9,1671.1,1668.8,1692.95,1694.8,1691.3,1794.0,1363.55,20458671,34601683780.25,447311
2024-09-19,EQ,1699.2,1719.0,1699.15,1694.8,1707.7,1708.5,1710.95,1794.0,1363.55,15325888,26221770150.4,347649
2024-09-20,EQ,1716.5,1744.95,1707.55,1708.5,1737.2,1741.2,1734.6,1794.0,1363.55,30311693,52578627456.0,519608
2024-09-23,EQ,1749.0,1766.35,1740.25,1741.2,1757.0,1759.8,1756.93,1794.0,1363.55,13482675,23688096929.7,449232
2024-09-24,EQ,1765.0,1781.65,1754.25,1759.8,1766.7,1768.05,1768.8,1794.0,1363.55,16519518,29219757725.3,404809
2024-09-25,EQ,1760.15,1788.0,1760.15,1768.05,1779.85,1779.1,1778.97,1794.0,1363.55,15982656,28432592068.7,498237
2024-09-26,EQ,1773.05,1788.0,1768.05,1779.1,1778.0,1783.45,1778.51,1794.0,1363.55,15949822,28366959862.95,343553
2024-09-27,EQ,1777.0,1778.2,1750.0,1783.45,1753.0,1752.65,1759.73,1794.0,1363.55,17806751,31335062628.8,339917
2024-09-30,EQ,1748.8,1751.45,1724.4,1752.65,1732.0,1732.05,1734.57,1794.0,1363.55,13191767,22882063615.1,343613
